pid, x, y, z, vx, vy, vz, mass, rho, pressure, internal energy, sound speed, hsml
0,-0.508711755275726318359375, -0.5, -0.5, -0.8485124111175537109375, 0, 0, 0.010101010091602802276611328125, 0.40862119197845458984375, 0.3657986819744110107421875, 2.2369747161865234375, 0.94615137577056884765625, 0.049439482390880584716796875
1,-0.495073497295379638671875, -0.5, -0.5, -0.5112917423248291015625, 0, 0, 0.010101010091602802276611328125, 0.632419884204864501953125, 0.574212372303009033203125, 2.268984317779541015625, 0.952869713306427001953125, 0.031943999230861663818359375
2,-0.4824584424495697021484375, -0.5, -0.5, -0.275707900524139404296875, 0, 0, 0.010101010091602802276611328125, 0.839701175689697265625, 0.7751839160919189453125, 2.30713653564453125, 0.960815489292144775390625, 0.02405858226120471954345703125
3,-0.470367610454559326171875, -0.5, -0.5, -0.09167505800724029541015625, 0, 0, 0.010101010091602802276611328125, 0.94704377651214599609375, 0.897686481475830078125, 2.36916065216064453125, 0.973592698574066162109375, 0.0213316641747951507568359375
4,-0.459359645843505859375, -0.5, -0.5, -0.00424019061028957366943359375, 0, 0, 0.010101010091602802276611328125, 0.9744510650634765625, 0.95809686183929443359375, 2.45782947540283203125, 0.99157297611236572265625, 0.02073169313371181488037109375
5,-0.4494077265262603759765625, -0.5, -0.5, -0.0041468958370387554168701171875, 0, 0, 0.010101010091602802276611328125, 0.999475777149200439453125, 1.00134181976318359375, 2.50463390350341796875, 1.00093305110931396484375, 0.0202126167714595794677734375
6,-0.4394223988056182861328125, -0.5, -0.5, -0.003309157676994800567626953125, 0, 0, 0.010101010091602802276611328125, 1.00862884521484375, 1.01061284542083740234375, 2.50490474700927734375, 1.0009829998016357421875, 0.0200291909277439117431640625
7,-0.4293096959590911865234375, -0.5, -0.5, 0.000990544562228024005889892578125, 0, 0, 0.010101010091602802276611328125, 1.003479480743408203125, 1.00328958034515380859375, 2.499516963958740234375, 0.9999053478240966796875, 0.0201319716870784759521484375
8,-0.4191869199275970458984375, -0.5, -0.5, 0.001432368415407836437225341796875, 0, 0, 0.010101010091602802276611328125, 0.99888908863067626953125, 0.998554646968841552734375, 2.49916362762451171875, 0.999832570552825927734375, 0.02022448740899562835693359375
9,-0.4090909063816070556640625, -0.5, -0.5, 0.00015718184295110404491424560546875, 0, 0, 0.010101010091602802276611328125, 0.99888503551483154296875, 0.99889123439788818359375, 2.500019073486328125, 1.0000030994415283203125, 0.02022456936538219451904296875
10,-0.3989899456501007080078125, -0.5, -0.5, -0.00030151940882205963134765625, 0, 0, 0.010101010091602802276611328125, 0.99989569187164306640625, 0.99996411800384521484375, 2.500172138214111328125, 1.00003421306610107421875, 0.020204126834869384765625
11,-0.388888895511627197265625, -0.5, -0.5, -0.000138089410029351711273193359375, 0, 0, 0.010101010091602802276611328125, 1.00018513202667236328125, 1.0001986026763916015625, 2.50003337860107421875, 1.00000679492950439453125, 0.02019827999174594879150390625
12,-0.37878787517547607421875, -0.5, -0.5, 1.02046224128571338951587677001953125e-05, 0, 0, 0.010101010091602802276611328125, 1.00007641315460205078125, 1.00006449222564697265625, 2.499969959259033203125, 0.9999940395355224609375, 0.02020047605037689208984375
13,-0.368686854839324951171875, -0.5, -0.5, 2.7474890885059721767902374267578125e-05, 0, 0, 0.010101010091602802276611328125, 0.99999010562896728515625, 0.999990046024322509765625, 2.5, 0.999999940395355224609375, 0.020202219486236572265625
14,-0.3585858643054962158203125, -0.5, -0.5, 8.3082059063599444925785064697265625e-06, 0, 0, 0.010101010091602802276611328125, 0.9999825954437255859375, 0.999982535839080810546875, 2.5, 0.999999940395355224609375, 0.0202023722231388092041015625
15,-0.3484848439693450927734375, -0.5, -0.5, -1.84463033292558975517749786376953125e-06, 0, 0, 0.010101010091602802276611328125, 0.99999678134918212890625, 0.999996721744537353515625, 2.5, 0.999999940395355224609375, 0.02020208537578582763671875
16,-0.338383853435516357421875, -0.5, -0.5, -1.2998852980672381818294525146484375e-06, 0, 0, 0.010101010091602802276611328125, 1.00000226497650146484375, 1.0000021457672119140625, 2.5, 0.999999940395355224609375, 0.020201973617076873779296875
17,-0.328282833099365234375, -0.5, -0.5, 2.282917677121076849289238452911376953125e-07, 0, 0, 0.010101010091602802276611328125, 1.0000007152557373046875, 1.00000059604644775390625, 2.5, 0.999999940395355224609375, 0.02020200528204441070556640625
18,-0.318181812763214111328125, -0.5, -0.5, -2.301004542459850199520587921142578125e-07, 0, 0, 0.010101010091602802276611328125, 0.999999344348907470703125, 0.9999992847442626953125, 2.5, 0.999999940395355224609375, 0.020202033221721649169921875
19,-0.30808079242706298828125, -0.5, -0.5, -8.0706860217105713672935962677001953125e-07, 0, 0, 0.010101010091602802276611328125, 0.99999964237213134765625, 0.999999582767486572265625, 2.5, 0.999999940395355224609375, 0.02020202763378620147705078125
20,-0.2979798018932342529296875, -0.5, -0.5, -4.16110509604550315998494625091552734375e-07, 0, 0, 0.010101010091602802276611328125, 1.000000476837158203125, 1.00000035762786865234375, 2.5, 0.999999940395355224609375, 0.0202020108699798583984375
21,-0.2878787815570831298828125, -0.5, -0.5, 2.88741745180232101120054721832275390625e-07, 0, 0, 0.010101010091602802276611328125, 1.000000476837158203125, 1.00000035762786865234375, 2.5, 0.999999940395355224609375, 0.0202020108699798583984375
22,-0.27777779102325439453125, -0.5, -0.5, 5.12982524014660157263278961181640625e-07, 0, 0, 0.010101010091602802276611328125, 1.00000011920928955078125, 1, 2.5, 0.999999940395355224609375, 0.020202018320560455322265625
23,-0.267676770687103271484375, -0.5, -0.5, 7.77445308131063939072191715240478515625e-08, 0, 0, 0.010101010091602802276611328125, 0.9999997615814208984375, 0.999999701976776123046875, 2.5, 0.999999940395355224609375, 0.02020202577114105224609375
24,-0.2575757503509521484375, -0.5, -0.5, -1.45549194030536455102264881134033203125e-07, 0, 0, 0.010101010091602802276611328125, 1, 0.999999940395355224609375, 2.5, 0.999999940395355224609375, 0.02020202018320560455322265625
25,-0.2474747598171234130859375, -0.5, -0.5, 5.5203617677079819259233772754669189453125e-08, 0, 0, 0.010101010091602802276611328125, 1, 0.999999940395355224609375, 2.5, 0.999999940395355224609375, 0.02020202018320560455322265625
26,-0.2373737394809722900390625, -0.5, -0.5, -1.21704279987255858941352926194667816162109375e-09, 0, 0, 0.010101010091602802276611328125, 0.99999988079071044921875, 0.999999821186065673828125, 2.5, 0.999999940395355224609375, 0.0202020220458507537841796875
27,-0.2272727191448211669921875, -0.5, -0.5, -6.95034003683758783154189586639404296875e-08, 0, 0, 0.010101010091602802276611328125, 1, 0.999999940395355224609375, 2.5, 0.999999940395355224609375, 0.02020202018320560455322265625
28,-0.217171728610992431640625, -0.5, -0.5, 6.95034003683758783154189586639404296875e-08, 0, 0, 0.010101010091602802276611328125, 1, 0.999999940395355224609375, 2.5, 0.999999940395355224609375, 0.02020202018320560455322265625
29,-0.20707070827484130859375, -0.5, -0.5, -2.184846736784872532621815111042451462708413600921630859375e-15, 0, 0, 0.010101010091602802276611328125, 0.99999988079071044921875, 0.999999821186065673828125, 2.5, 0.999999940395355224609375, 0.0202020220458507537841796875
30,-0.196969687938690185546875, -0.5, -0.5, -6.95034003683758783154189586639404296875e-08, 0, 0, 0.010101010091602802276611328125, 1, 0.999999940395355224609375, 2.5, 0.999999940395355224609375, 0.02020202018320560455322265625
31,-0.1868686974048614501953125, -0.5, -0.5, 6.95034003683758783154189586639404296875e-08, 0, 0, 0.010101010091602802276611328125, 1, 0.999999940395355224609375, 2.5, 0.999999940395355224609375, 0.02020202018320560455322265625
32,-0.1767676770687103271484375, -0.5, -0.5, -2.184846736784872532621815111042451462708413600921630859375e-15, 0, 0, 0.010101010091602802276611328125, 0.99999988079071044921875, 0.999999821186065673828125, 2.5, 0.999999940395355224609375, 0.0202020220458507537841796875
33,-0.1666666567325592041015625, -0.5, -0.5, -6.95034003683758783154189586639404296875e-08, 0, 0, 0.010101010091602802276611328125, 1, 0.999999940395355224609375, 2.5, 0.999999940395355224609375, 0.02020202018320560455322265625
34,-0.15656566619873046875, -0.5, -0.5, 6.95034003683758783154189586639404296875e-08, 0, 0, 0.010101010091602802276611328125, 1, 0.999999940395355224609375, 2.5, 0.999999940395355224609375, 0.02020202018320560455322265625
35,-0.146464645862579345703125, -0.5, -0.5, -2.184846736784872532621815111042451462708413600921630859375e-15, 0, 0, 0.010101010091602802276611328125, 0.99999988079071044921875, 0.999999821186065673828125, 2.5, 0.999999940395355224609375, 0.0202020220458507537841796875
36,-0.13636362552642822265625, -0.5, -0.5, -6.95034003683758783154189586639404296875e-08, 0, 0, 0.010101010091602802276611328125, 1, 0.999999940395355224609375, 2.5, 0.999999940395355224609375, 0.02020202018320560455322265625
37,-0.1262626349925994873046875, -0.5, -0.5, 6.95034003683758783154189586639404296875e-08, 0, 0, 0.010101010091602802276611328125, 1, 0.999999940395355224609375, 2.5, 0.999999940395355224609375, 0.02020202018320560455322265625
38,-0.1161616146564483642578125, -0.5, -0.5, -2.184846736784872532621815111042451462708413600921630859375e-15, 0, 0, 0.010101010091602802276611328125, 0.99999988079071044921875, 0.999999821186065673828125, 2.5, 0.999999940395355224609375, 0.0202020220458507537841796875
39,-0.1060605943202972412109375, -0.5, -0.5, -6.95034003683758783154189586639404296875e-08, 0, 0, 0.010101010091602802276611328125, 1, 0.999999940395355224609375, 2.5, 0.999999940395355224609375, 0.02020202018320560455322265625
40,-0.095959603786468505859375, -0.5, -0.5, 6.95034003683758783154189586639404296875e-08, 0, 0, 0.010101010091602802276611328125, 1, 0.999999940395355224609375, 2.5, 0.999999940395355224609375, 0.02020202018320560455322265625
41,-0.0858585834503173828125, -0.5, -0.5, -2.184846736784872532621815111042451462708413600921630859375e-15, 0, 0, 0.010101010091602802276611328125, 0.99999988079071044921875, 0.999999821186065673828125, 2.5, 0.999999940395355224609375, 0.0202020220458507537841796875
42,-0.075757563114166259765625, -0.5, -0.5, -6.8286027499198098666965961456298828125e-08, 0, 0, 0.010101010091602802276611328125, 1, 0.999999940395355224609375, 2.5, 0.999999940395355224609375, 0.02020202018320560455322265625
43,-0.0656565725803375244140625, -0.5, -0.5, 8.532560258345256443135440349578857421875e-08, 0, 0, 0.010101010091602802276611328125, 1, 0.999999940395355224609375, 2.5, 0.999999940395355224609375, 0.02020202018320560455322265625
44,-0.0555555522441864013671875, -0.5, -0.5, 9.85797896646545268595218658447265625e-08, 0, 0, 0.010101010091602802276611328125, 0.99999988079071044921875, 0.999999821186065673828125, 2.5, 0.999999940395355224609375, 0.0202020220458507537841796875
45,-0.0454545319080352783203125, -0.5, -0.5, 8.9630081134828287758864462375640869140625e-09, 0, 0, 0.010101010091602802276611328125, 0.99999988079071044921875, 0.999999821186065673828125, 2.5, 0.999999940395355224609375, 0.0202020220458507537841796875
46,-0.03535354137420654296875, -0.5, -0.5, -9.260033806413048296235501766204833984375e-08, 0, 0, 0.010101010091602802276611328125, 0.99999988079071044921875, 0.999999821186065673828125, 2.5, 0.999999940395355224609375, 0.0202020220458507537841796875
47,-0.025252521038055419921875, -0.5, -0.5, -6.2972691239338018931448459625244140625e-07, 0, 0, 0.010101010091602802276611328125, 0.99999988079071044921875, 0.999999821186065673828125, 2.5, 0.999999940395355224609375, 0.0202020220458507537841796875
48,-0.015151500701904296875, -0.5, -0.5, -9.998631185226258821785449981689453125e-07, 0, 0, 0.010101010091602802276611328125, 1.00000059604644775390625, 1.000000476837158203125, 2.5, 0.999999940395355224609375, 0.02020200900733470916748046875
49,-0.0050505101680755615234375, -0.5, -0.5, 7.19834503115635016001760959625244140625e-08, 0, 0, 0.010101010091602802276611328125, 1.0000011920928955078125, 1.00000107288360595703125, 2.5, 0.999999940395355224609375, 0.02020199596881866455078125
50,0.005050480365753173828125, -0.5, -0.5, 1.5139622746573877520859241485595703125e-06, 0, 0, 0.010101010091602802276611328125, 1.00000059604644775390625, 1.000000476837158203125, 2.5, 0.999999940395355224609375, 0.02020200900733470916748046875
51,0.015151500701904296875, -0.5, -0.5, 1.6931089703575707972049713134765625e-06, 0, 0, 0.010101010091602802276611328125, 0.99999940395355224609375, 0.999999344348907470703125, 2.5, 0.999999940395355224609375, 0.02020203135907649993896484375
52,0.025252521038055419921875, -0.5, -0.5, 5.417113015937502495944499969482421875e-07, 0, 0, 0.010101010091602802276611328125, 0.999998569488525390625, 0.999998509883880615234375, 2.5, 0.999999940395355224609375, 0.02020204998552799224853515625
53,0.03535354137420654296875, -0.5, -0.5, -1.1581222452150541357696056365966796875e-06, 0, 0, 0.010101010091602802276611328125, 0.999998748302459716796875, 0.99999868869781494140625, 2.5, 0.999999940395355224609375, 0.02020204626023769378662109375
