pid, x, y, z, vx, vy, vz, mass, rho, pressure, internal energy, sound speed, hsml
0,-nan, -nan, -nan, -nan, -nan, -nan, 0.010101010091602802276611328125, 0, -nan, nan, 0, inf
1,-nan, -nan, -nan, -nan, -nan, -nan, 0.010101010091602802276611328125, 0, -nan, nan, 0, inf
2,-nan, -nan, -nan, -nan, -nan, -nan, 0.010101010091602802276611328125, 0, -nan, nan, 0, inf
3,-0.496314942836761474609375, -0.5, -0.5, -1.29666912555694580078125, 0, 0, 0.010101010091602802276611328125, 0.2321033477783203125, 0.16174669563770294189453125, 1.7413728237152099609375, 0.834789574146270751953125, 0.087038896977901458740234375
4,-0.47439587116241455078125, -0.5, -0.5, -0.763311207294464111328125, 0, 0, 0.010101010091602802276611328125, 0.45123183727264404296875, 0.3549505174160003662109375, 1.965793609619140625, 0.886919200420379638671875, 0.04477082192897796630859375
5,-0.458579719066619873046875, -0.5, -0.5, -0.4697426855564117431640625, 0, 0, 0.010101010091602802276611328125, 0.67458403110504150390625, 0.570880830287933349609375, 2.11501979827880859375, 0.919929802417755126953125, 0.0299473740160465240478515625
6,-0.4440468847751617431640625, -0.5, -0.5, -0.2845240533351898193359375, 0, 0, 0.010101010091602802276611328125, 0.778607785701751708984375, 0.695790946483612060546875, 2.233623504638671875, 0.945322573184967041015625, 0.0259463377296924591064453125
7,-0.4316284656524658203125, -0.5, -0.5, -0.18769933283329010009765625, 0, 0, 0.010101010091602802276611328125, 0.84628093242645263671875, 0.793948113918304443359375, 2.34506130218505859375, 0.968587338924407958984375, 0.0238715298473834991455078125
8,-0.42048251628875732421875, -0.5, -0.5, -0.114817522466182708740234375, 0, 0, 0.010101010091602802276611328125, 0.91803967952728271484375, 0.8856513500213623046875, 2.4115142822265625, 0.982201635837554931640625, 0.0220056064426898956298828125
9,-0.40965759754180908203125, -0.5, -0.5, -0.0552686341106891632080078125, 0, 0, 0.010101010091602802276611328125, 0.957079410552978515625, 0.936238706111907958984375, 2.44535732269287109375, 0.98905241489410400390625, 0.02110798656940460205078125
10,-0.3991418778896331787109375, -0.5, -0.5, -0.02362389676272869110107421875, 0, 0, 0.010101010091602802276611328125, 0.9790976047515869140625, 0.968703925609588623046875, 2.473351001739501953125, 0.994678020477294921875, 0.0206333063542842864990234375
11,-0.3889310657978057861328125, -0.5, -0.5, -0.011424728669226169586181640625, 0, 0, 0.010101010091602802276611328125, 0.992555141448974609375, 0.98925077915191650390625, 2.4916248321533203125, 0.99833405017852783203125, 0.02035355009138584136962890625
12,-0.37881672382354736328125, -0.5, -0.5, -0.00463217310607433319091796875, 0, 0, 0.010101010091602802276611328125, 0.998942077159881591796875, 0.9979417324066162109375, 2.4974689483642578125, 0.999499142169952392578125, 0.02022341452538967132568359375
13,-0.3686920106410980224609375, -0.5, -0.5, -0.0006650700233876705169677734375, 0, 0, 0.010101010091602802276611328125, 0.99999701976776123046875, 0.99944651126861572265625, 2.498610973358154296875, 0.999724686145782470703125, 0.02020207978785037994384765625
14,-0.358583390712738037109375, -0.5, -0.5, 0.00027005537413060665130615234375, 0, 0, 0.010101010091602802276611328125, 0.9997942447662353515625, 0.9995825290679931640625, 2.4994678497314453125, 0.999894082546234130859375, 0.02020617760717868804931640625
15,-0.3484848439693450927734375, -0.5, -0.5, 1.1046815416193567216396331787109375e-05, 0, 0, 0.010101010091602802276611328125, 0.9999039173126220703125, 0.999906361103057861328125, 2.50000667572021484375, 1.0000011920928955078125, 0.02020396105945110321044921875
16,-0.338383853435516357421875, -0.5, -0.5, -9.677387424744665622711181640625e-05, 0, 0, 0.010101010091602802276611328125, 1.00003445148468017578125, 1.00005781650543212890625, 2.500058650970458984375, 1.0000116825103759765625, 0.02020132355391979217529296875
17,-0.328282833099365234375, -0.5, -0.5, -3.986387673649005591869354248046875e-05, 0, 0, 0.010101010091602802276611328125, 1.0000307559967041015625, 1.00003063678741455078125, 2.5, 0.999999940395355224609375, 0.02020139805972576141357421875
18,-0.318181812763214111328125, -0.5, -0.5, -1.712295443212497048079967498779296875e-06, 0, 0, 0.010101010091602802276611328125, 1.00000226497650146484375, 1.0000021457672119140625, 2.5, 0.999999940395355224609375, 0.020201973617076873779296875
19,-0.30808079242706298828125, -0.5, -0.5, 4.28684506914578378200531005859375e-06, 0, 0, 0.010101010091602802276611328125, 0.999995172023773193359375, 0.99999511241912841796875, 2.5, 0.999999940395355224609375, 0.02020211704075336456298828125
20,-0.2979798018932342529296875, -0.5, -0.5, 9.48461320149363018572330474853515625e-07, 0, 0, 0.010101010091602802276611328125, 0.99999845027923583984375, 0.999998390674591064453125, 2.5, 0.999999940395355224609375, 0.0202020518481731414794921875
21,-0.2878787815570831298828125, -0.5, -0.5, 5.2849054554826579988002777099609375e-07, 0, 0, 0.010101010091602802276611328125, 1.0000007152557373046875, 1.00000059604644775390625, 2.5, 0.999999940395355224609375, 0.02020200528204441070556640625
22,-0.27777779102325439453125, -0.5, -0.5, 1.237882543136947788298130035400390625e-06, 0, 0, 0.010101010091602802276611328125, 1.000000476837158203125, 1.00000035762786865234375, 2.5, 0.999999940395355224609375, 0.0202020108699798583984375
23,-0.267676770687103271484375, -0.5, -0.5, 2.620159875732497312128543853759765625e-07, 0, 0, 0.010101010091602802276611328125, 1, 0.999999940395355224609375, 2.5, 0.999999940395355224609375, 0.02020202018320560455322265625
24,-0.2575757503509521484375, -0.5, -0.5, -3.96391754975411458872258663177490234375e-07, 0, 0, 0.010101010091602802276611328125, 0.99999988079071044921875, 0.999999821186065673828125, 2.5, 0.999999940395355224609375, 0.0202020220458507537841796875
25,-0.2474747598171234130859375, -0.5, -0.5, 2.0511242837528698146343231201171875e-07, 0, 0, 0.010101010091602802276611328125, 1, 0.999999940395355224609375, 2.5, 0.999999940395355224609375, 0.02020202018320560455322265625
26,-0.2373737394809722900390625, -0.5, -0.5, -3.94316401752803358249366283416748046875e-09, 0, 0, 0.010101010091602802276611328125, 0.99999988079071044921875, 0.999999821186065673828125, 2.5, 0.999999940395355224609375, 0.0202020220458507537841796875
